,name,longitud,latitud,regular,premium,diesel
2132,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",-109.0028,25.81053,20.53,22.92,22.15
2133,MARA ESTACION DE SERVICIOS SA DE CV,-102.2631,21.89202,19.98,21.09,
2134,"GRUPO OCTANO, S.A. DE C.V.",-104.8968,21.49442,20.91,22.58,
2135,SERVICIO OROZCO SA DE CV,-99.12276,23.82137,,,22.59
2136,Servicio Puerta de Hierro S.A. de C.V.,-103.7087,19.25796,19.83,21.19,21.75
2137,"Gasolinería Real Madeira, S.A. de C.V.",-99.02091,19.57863,,21.49,
2138,"PETROMAX, S.A. DE C.V.",-100.9133,25.43487,,21.4,
2139,"PETROMAX, S.A. DE C.V.",-98.31638,26.06835,14.65,16.6,
2140,"Inmobiliaria Socor, S.A. de C.V.",-99.13939,19.71715,20.49,,
2141,GRUPO EMPRESARIAL CACHANILLA SA DE CV,-115.5029,32.59509,17.89,19.29,
2142,"Gasolinería Itálica, S.A. de C.V.",-99.2491,19.53231,,21.49,
2143,"Super Servicio Cumbre, S.A. de C.V.",-99.21558,18.90457,19.89,20.99,21.49
2144,ESTACIONES DE SERVICIO CAMINOS DE GUANAJUATO SA CV,-100.9016,21.16531,20.3,21.35,22.15
2145,"PETROMAX, S.A. DE C.V.",-100.995,25.47064,,,20.69
2146,"PETROMAX, S.A. DE C.V.",-100.3883,25.77217,,21.15,
2147,"PETROMAX, S.A. DE C.V.",-100.2403,25.71573,19.99,,
2148,"PETROMAX, S.A. DE C.V.",-100.0302,25.28464,19.99,,
2149,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",-110.9418,31.28525,16.49,18.39,
2150,"PETROMAX, S.A. DE C.V.",-98.39253,26.04565,14.65,16.6,
2151,"PETROMAX, S.A. DE C.V.",-100.9813,25.48239,,,21.09
2152,"PETROMAX, S.A. DE C.V.",-100.2887,25.71853,19.99,,
2153,"Inmobiliaria RAVS, S.A. de C.V.",-99.08196,19.37504,20.59,,
2154,GASOLINA Y LUBRICANTES MALPASO SA DE CV ,-93.56612,17.18763,,,21.54
2155,"SERVICIO EFIGAS, S. DE R.L. DE C.V.",-117.0082,32.52866,18.99,20.39,
2156,SERVICIOS ENERGETICOS DEL PACIFICO SA DE CV,-104.3236,19.11446,19.7,20.7,
2157,"Gasolinería México - Ajusco 1, S.A. de C.V.",-99.19692,19.2289,,21.49,
2158,"GRUPO OCTANO, S.A. DE C.V.",-105.2224,20.65418,20.98,22.19,22.14
2159,"GRUPO OCTANO, S.A. DE C.V.",-101.1592,20.20225,,,22.91
2160,GRUPO EMPRESARIAL CACHANILLA SA DE CV,-114.7834,32.47077,15.39,16.69,20.59
2161,"PETROMAX, S.A. DE C.V.",-100.9898,25.38848,,21.4,
2162,"PETROMAX, S.A. DE C.V.",-103.4574,25.55805,,20.75,
2163,ESTACION DE SERVICIO TEZONTEPEC S.A. DE C.V.,-99.26816,20.19257,18.8,20.2,20.1
2164,"ESTACION RAEL, S. DE R.L. DE C.V.",-116.9314,32.48362,19.29,20.49,
2165,"Estación de Servicio Cordoba, S.A. de C.V.",-99.20078,18.91205,19.89,20.99,21.49
2166,Becktrop Operadora SA de CV,-117.0217,32.51695,18.89,20.29,
2167,GRUPO EMPRESARIAL CACHANILLA SA DE CV,-115.4283,32.60439,18.09,19.49,20.38
2168,GRUPO GOCALVI SA DE CV,-106.5244,31.77218,,,18.44
2169,"GRUPO OCTANO, S.A. DE C.V.",-103.4172,20.64037,,22.23,
2170,"GRUPO OCTANO, S.A. DE C.V.",-101.0983,19.78714,,,22.39
2171,GRUPO GOCALVI SA DE CV,-106.4938,31.72176,13.99,16.09,
2172,"SERVICIO GENCAR, S.A. DE C.V.",-91.8837,18.64528,19.89,21.49,21.29
2173,GRUPO EMPRESARIAL CACHANILLA SA DE CV,-115.3589,32.55959,18.09,19.42,20.38
2174,GRUPO EMPRESARIAL CACHANILLA SA DE CV,-115.3366,32.56762,18.07,19.45,
2175,"PETROMAX, S.A. DE C.V.",-103.4968,25.59786,,,20.7
2176,"PETROMAX, S.A. DE C.V.",-99.23218,19.47735,,20.06,
2177,"PETROMAX, S.A. DE C.V.",-100.174,25.73397,19.99,,
2178,"PETROMAX, S.A. DE C.V.",-100.273,25.76927,19.99,,
2179,GAS SANFER S. DE R.L. DE C.V.,-103.719,19.24986,19.85,21.19,21.7
2180,"COMBU-EXPRESS, S.A. DE C.V.",-104.8626,21.49188,19.69,21.09,21.19
2181,"PETROMAX, S.A. DE C.V.",-100.1586,25.78579,19.99,,
2182,"Servicio Jacarandas, S.A. de C.V.",-99.0181,19.61462,,21.49,
2183,"PETROMAX, S.A. DE C.V.",-98.29991,26.08213,14.65,16.6,
2184,"GRUPO OCTANO, S.A. DE C.V.",-105.2258,20.69032,20.98,22.19,22.14
2185,MULTISERVICIOS LA PILARICA SA DE CV ,-109.0079,25.74504,20.52,22.92,22.26
2186,"Estación de Servicio Marbella, S.A. de C.V.",-99.07384,19.54896,,21.49,
2187,"PETROMAX, S.A. DE C.V.",-98.33501,26.06836,14.65,16.6,
2188,"Gasolinería Ulises, S.A. de C.V.",-99.2403,19.62737,,21.49,
2189,"ARY SUPER SERVICIOS VI, SA DE CV",-103.3994,25.59699,,21.34,
2190,"PETROMAX, S.A. DE C.V.",-99.05198,19.54947,,,21.15
2191,"Estación de Servicio Cuenca, S.A. de C.V. ",-97.85314,22.254,,20.39,
2192,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",-101.6542,21.15335,,22.39,
2193,DALROM S.A DE C.V.,-102.2435,21.87411,19.75,20.59,21.51
2194,"PETROMAX, S.A. DE C.V.",-100.261,25.79039,19.99,,
2195,COMBUSTIBLES ARCOTETE S.A. DE C.V.,-92.60492,16.73734,19.55,21.5,21.35
2196,"Estación de Servicio la Rioja, S.A. de C.V.",-99.08937,19.82526,20.49,,
2197,servicio el toreo de saltillo sa de cv,-100.9147,25.44261,,21.49,21.65
2198,"PETROMAX, S.A. DE C.V.",-100.4822,25.67927,19.99,,
2199,SERVICIO SIERRA DE ARTEAGA SA DE CV,-100.8774,25.44026,20.22,21.6,21.88
2200,"Diaz Gas, S.A. de C.V.",-106.4253,31.7462,13.93,15.94,18.58
2201,"PETROMAX, S.A. DE C.V.",-100.1629,25.70878,,21.15,
2202,ESTACION TALLERES S.A. DE C.V.,-86.88126,21.15601,19.74,21.19,
2203,"PETROMAX, S.A. DE C.V.",-100.3628,25.71314,19.99,,
2204,"PETROMAX, S.A. DE C.V.",-100.2664,25.66576,19.99,,
2205,"GRUPO LONOR, S.A. DE C.V.  E11919",-91.96599,15.8336,20.43,21.15,21.65
2206,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",-101.6518,21.07652,,22.09,
2207,"GRUPO OCTANO, S.A. DE C.V.",-104.2044,19.80471,20.34,21.32,
2208,"GRUPO OCTANO, S.A. DE C.V.",-104.883,21.49595,20.91,22.58,
2209,GASOLINERAS PABA SA DE CV ,-110.2945,24.12212,20.07,21.46,21.5
2210,SERVICIO GASOL SA DE CV,-103.3947,25.55813,19.85,21.46,
2211,"PETROMAX, S.A. DE C.V.",-98.23244,26.02191,14.65,16.6,
2212,Becktrop Operadora SA de CV,-117.0261,32.5229,18.89,20.29,
2213,"ESTACION AMBAR, S. DE R.L. DE C.V.",-116.924,32.49483,18.79,20.59,
2214,"Estación de Servicio Venta de Carpio, S.A. de C.V.",-99.00452,19.6214,,21.49,
2215,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",-109.0119,25.78968,20.53,22.92,22.15
2216,GASOLINERAS PABA SA DE CV ,-110.314,24.14254,20.07,21.46,21.5
2217,"PETROMAX, S.A. DE C.V.",-100.4024,25.76277,,21.15,
2218,ENERGETICOS Y SERVICIOS OCOZOCOAUTLA  SA DE CV ,-92.34282,14.91567,19.25,20.64,20.86
2219,"PETROMAX, S.A. DE C.V.",-100.253,25.73068,19.99,,
2220,APOYOS Y SUMIN.COMERCIALES E INDUST. S.A. DE C.V. ,-117.0852,32.52634,19.09,20.49,
2221,GRUPO EMPRESARIAL CACHANILLA SA DE CV,-115.3744,32.65948,,,20.38
2222,GRUPO EMPRESARIAL CACHANILLA SA DE CV,-115.4325,32.59562,18.09,19.39,20.38
2223,"ESTACION CUCAPAH, S.A. DE C.V.",-116.8796,32.51322,,20.49,
2224,"PETROMAX, S.A. DE C.V.",-100.264,25.82103,19.99,,
2225,"ESTACION GRUGAS, S. DE R.L. DE C.V.",-116.9147,32.53901,19.19,20.49,
2226,DISTRIBUIDORA DE COBUSTIBLES LAS CAÑADAS SA DE CV ,-90.63845,16.08285,,,21.56
2227,servicios energeticos brisas sa de cv,-100.9835,25.48155,19.69,20.79,21.05
2228,"PETROMAX, S.A. DE C.V.",-100.3206,25.78637,19.99,,
2229,PETRO SERVICIOS DEL SURESTE SA DE CV,-93.12914,17.90663,,19.86,19.44
2230,Becktrop Operadora SA de CV,-115.4722,32.65059,18.09,19.29,
2231,GASOLINERIA LAZARO CHANONA BORGES SA DE CV ,-93.38528,16.76469,,,20.38
2232,"PETROMAX, S.A. DE C.V.",-100.318,25.77943,19.99,,
2233,GASOLINERA NORPONIENTE S.A. DE C.V.,-86.89943,21.14857,19.74,21.19,
2234,DISTRIBUIDORA DE COBUSTIBLES LAS CAÑADAS SA DE CV ,-90.65433,16.50013,19.69,20.99,21.38
2235,"PETROMAX, S.A. DE C.V.",-99.0914,19.6322,20.35,21.4,
2236,"Estación de Servicio Cantabria, S.A. de C.V.",-99.19987,18.88947,19.89,20.99,21.49
2237,"GRUPO OCTANO, S.A. DE C.V.",-105.2634,21.0257,21.3,22.54,22.23
2238,GASOLINERA GUASAVE SA DE CV,-108.4668,25.56817,20.18,22.47,22.19
2239,"PETROMAX, S.A. DE C.V.",-98.29279,26.08957,14.65,16.6,
2240,GRUPO EMPRESARIAL CACHANILLA SA DE CV,-115.5797,32.58874,18.05,19.44,
2241,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",-109.0046,25.79292,20.72,23.11,22.23
2242,"SERVICIO JARDINES, S.A. DE C.V. ( ES12369)",-90.04852,20.3788,18.37,19.89,20.11
2243,Gasolinera Colon S.A. de C.V.,-103.3658,20.65207,20.99,21.7,21.92
2244,"PETROMAX, S.A. DE C.V.",-100.3575,25.69688,19.99,,
2245,"GRUPO OCTANO, S.A. DE C.V.",-104.8595,21.47486,20.91,22.58,21.59
2246,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",-108.9919,25.82133,20.53,22.92,22.15
2247,"PETROMAX, S.A. DE C.V.",-100.9627,25.50189,,,21.09
2248,OPERADORA LAS CRUCES SA DE CV,-100.5463,28.70271,15.79,,
2249,"PETROMAX, S.A. DE C.V.",-106.1335,28.68869,,,20.59
2250,GRUPO GOCALVI SA DE CV,-106.4936,31.72121,13.99,16.09,
2251,Estacion El Encanto S.A. de C.V.,-116.6503,32.56519,,19.45,19.79
2252,GRUPO EMPRESARIAL CACHANILLA SA DE CV,-115.483,32.59637,18.04,19.43,20.38
2253,"Gasolinería Turquesa, S.A. de C.V. ",-99.07876,19.67295,,21.49,
2254,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",-108.9903,25.76621,19.53,21.92,21.95
2255,"PETROMAX, S.A. DE C.V.",-100.4128,25.76333,19.99,,
2256,"ESTACION RAEL, S. DE R.L. DE C.V.",-116.8668,32.50251,,20.49,
2257,"GRUPO OCTANO, S.A. DE C.V.",-105.3483,20.95066,21.3,22.54,22.23
2258,MULTISERVICIOS LA PILARICA SA DE CV ,-108.7157,25.70819,20.35,23.08,22.64
2259,"Diaz Gas, S.A. de C.V.",-106.4733,31.7203,13.93,15.94,
2260,"ESTACION RAEL, S. DE R.L. DE C.V.",-115.506,32.64334,18.19,19.69,
2261,"PETROMAX, S.A. DE C.V.",-100.5805,25.78744,19.99,,
2262,"GRUPO OCTANO, S.A. DE C.V.",-101.2223,19.67717,20.89,21.85,
2263,"PETROMAX, S.A. DE C.V.",-100.846,25.44611,19.99,21.4,
2264,"SERVICIO PALAU, SA DE CV",-101.4273,27.88953,19.96,20.9,21.7
2265,"ARY SUPER SERVICIOS II, SA DE CV",-103.5191,25.54451,,21.26,
2266,"Gaeli Diesel, S.A. de C.V.",-91.82955,18.65546,19.99,21.09,21.97
2267,"PETROMAX, S.A. DE C.V.",-99.10912,19.47922,19.95,21,
2268,"SERVICIO CIBOLA, S.A. DE C.V.",-117.0165,32.53784,,20.49,
2269,COMBUSTIBLES Y REPARACIONES DE CHIAPAS SA DE CV,-93.1921,16.76767,,20.14,
2270,"ESTACION LA VICTORIA, S.A. DE C.V.",-116.6227,32.57238,18.19,19.49,
2271,"PETROMAX, S.A. DE C.V.",-100.2961,25.75637,19.99,,
2272,"Gasolinería Magnolias, S.A. de C.V.",-99.09545,19.37437,,21.59,
2273,OPERADORA DE COMBUSTIBLE SA DE CV,-110.2967,24.1315,20.15,,
2274,"PETROMAX, S.A. DE C.V.",-98.27705,26.00909,14.65,16.6,
2275,"PETROMAX, S.A. DE C.V.",-116.9097,32.51204,,19.99,
2276,MULTISERVICIOS LA PILARICA SA DE CV ,-108.9416,25.8021,,,21.45
2277,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",-105.3485,20.76174,21.29,,22.17
2278,"PETROMAX, S.A. DE C.V.",-100.1539,25.42441,,21.05,
2279,"PETROMAX, S.A. DE C.V.",-103.4968,25.5994,,,20.7
2280,"PETROMAX, S.A. DE C.V.",-103.3584,25.53979,,21.3,
2281,"PETROMAX, S.A. DE C.V.",-100.1625,25.73066,19.99,,
2282,SERVICIO 8 DE ENERO S.A. DE C.V.,-101.4921,26.99841,19.99,20.99,21.5
2283,GASOLINERA EL 27 SA DE CV,-99.16292,23.73274,,21.19,
2284,"PETROMAX, S.A. DE C.V.",-100.1952,25.69145,19.99,,
2285,"Administradora Profesional de Gasolineras de México, S. de R. L. de C. V.",-115.4868,32.66468,18.19,19.45,20.25
2286,"PETROMAX, S.A. DE C.V.",-100.3921,25.67348,19.99,,
2287,"Estación de Servicio Sauvage, S.A. de C.V.",-99.02579,19.61582,,21.49,
2288,"GRUPO OCTANO, S.A. DE C.V.",-101.0389,19.82875,,,22.39
2289,"ESTACION DEL ROBLE, S.A. DE C.V.",-116.9525,32.43441,18.79,20.49,
2290,"PETROMAX, S.A. DE C.V.",-100.2357,25.71714,19.99,,
2291,GASOPRIM SA DE CV,-103.7026,19.2684,19.8,21.21,21.9
2292,"GRUPO OCTANO, S.A. DE C.V.",-104.9266,21.52014,20.91,22.58,21.59
2293,MULTISERVICIOS LA PILARICA SA DE CV ,-108.9937,25.76829,20.52,22.92,
2294,GASOLINERIA LOMALINDA 0194 S.A DE C.V.,-99.21804,19.42066,20.9,22.05,
2295,"GRUPO OCTANO, S.A. DE C.V.",-105.3746,20.76066,21.3,22.54,22.23
2296,"PETROMAX, S.A. DE C.V.",-100.9607,25.47087,,21.15,
2297,ENERGETICOS CERRO DE ORTEGA SA DE CV,-103.729,18.76095,20.25,21.2,20.98
2298,DESARROLLO INTEGRAL OCOZOCOAUTLA SA DE CV ,-91.99803,15.70444,,23.27,
2299,"PETROMAX, S.A. DE C.V.",-103.4483,25.54146,,21.3,
2300,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",-116.585,32.56567,18.49,20.49,
2301,"PETROMAX, S.A. DE C.V.",-100.2573,25.76571,19.99,,
2302,"PETROMAX, S.A. DE C.V.",-103.4711,20.54878,20.6,21.89,
2303,"PETROMAX, S.A. DE C.V.",-98.33169,26.07043,14.65,16.6,
2304,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",-116.9668,32.40604,18.99,,
2305,"GRUPO OCTANO, S.A. DE C.V.",-101.1545,19.70107,,,22.57
2306,GRUPO GOCALVI SA DE CV,-106.4634,31.64773,13.99,16.09,
2307,"SERVICIO CIBOLA, S.A. DE C.V.",-116.9861,32.50862,19.09,20.59,
2308,"PETROMAX, S.A. DE C.V.",-116.5928,31.79353,,19.99,
2309,"SERVICIO EFIGAS, S. DE R.L. DE C.V.",-117.0203,32.49725,,20.49,
2310,"Operadora Santa Elena, S.A. de C.V.",-99.2113,19.2257,,21.49,
2311,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",-108.9826,25.80633,20.72,23.11,22.23
2312,GASOLINERA EL ENCINO S.A. DE C.V,-100.7522,28.44654,,,20.35
2313,"PETROMAX, S.A. DE C.V.",-100.9761,25.45598,,21.15,
2314,"PETROMAX, S.A. DE C.V.",-100.4806,25.68477,19.89,,
2315,GRUPO EMPRESARIAL CACHANILLA SA DE CV,-115.4363,32.58577,17.98,18.99,20.38
2316,"Servicio la Guitarra, S.A. de C.V.",-99.24943,19.44123,20.59,21.49,
2317,"EST. DE SERVICIO SAGITARIO, S.DER.L.DE C.V.",-116.9871,32.46825,19.19,20.49,
2318,"PETROMAX, S.A. DE C.V.",-100.2444,25.73667,19.99,,
2319,"SEVEN SERVICE, S.A DE C.V.",-99.16319,19.4423,20.53,21.47,
2320,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.9758,25.42712,19.99,,
2321,"Servicio Calatrava, S.A. de C.V.",-99.13498,19.66663,,21.49,
2322,"GRUPO OCTANO, S.A. DE C.V.",-104.8867,21.50385,20.91,22.58,21.59
2323,"GRUPO OCTANO, S.A. DE C.V.",-105.2269,22.00695,20.24,21.68,21.5
2324,"PETROMAX, S.A. DE C.V.",-116.9343,32.49222,,19.99,
2325,"PETROMAX, S.A. DE C.V.",-99.20648,19.54421,,,21.15
2326,"ESTACION RAEL, S. DE R.L. DE C.V.",-115.4716,32.63718,18.39,20.09,
2327,"Gasolinería Rubí, S.A. de C.V.",-99.23139,18.83838,19.89,20.99,
2328,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",-116.9867,32.52137,19.09,,
2329,"PETROMAX, S.A. DE C.V.",-100.3987,25.76576,,21.15,
2330,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",-108.9852,25.77709,20.53,22.92,22.15
2331,"GRUPO OCTANO, S.A. DE C.V.",-103.4485,20.70532,,22.23,
2332,"PETROMAX, S.A. DE C.V.",-100.219,25.53799,19.99,,
2333,"PETROMAX, S.A. DE C.V.",-98.32028,26.05507,14.65,16.6,
2334,ESTACION DE SERVICIO CORCELES SA DE CV,-99.23235,19.36607,20.69,21.69,21.89
2335,Servicio Korian S.A. de C.V.,-104.6564,24.05557,19.57,21.12,20.83
2336,servicio libramiento jlp sa de cv,-100.8894,25.44036,19.89,21.44,21.39
2337,"PETROMAX, S.A. DE C.V.",-100.9894,25.424,19.59,,
2338,"PETROMAX, S.A. DE C.V.",-100.4674,25.69789,19.69,,
2339,"COMERCIALIZADORA DE COMBUSTIBLES DE CHIAPAS, SA DE CV",-92.90816,16.80658,19.99,21.23,21.79
2340,"PETROMAX, S.A. DE C.V.",-98.29163,26.05218,14.65,16.6,
2341,"PETROMAX, S.A. DE C.V.",-98.37744,26.05263,14.65,16.6,
2342,"Servicio Geyser, S.A. de C.V.",-99.03545,19.36047,,21.59,
2343,"PETROMAX, S.A. DE C.V.",-100.2869,25.75716,19.94,,
